"geoid2","geoname","est_pop2015","pop2020","pop2030","pop2040","Poverty.Percent.All.Ages"
51720,"Norton City",3946,4201,4468,4722,18.1
51730,"Petersburg City",32057,32699,33320,33939,25.8
51735,"Poquoson City",12359,13623,15167,16604,5.3
51740,"Portsmouth City",96874,95717,97826,99916,19.5
51750,"Radford City",17420,17392,18392,19318,34.2
51760,"Richmond City",217938,206674,208665,210368,26.2
51770,"Roanoke City",99681,99287,101174,102657,20.1
51775,"Salem City",25438,25889,27075,28116,11.9
51790,"Staunton City",24542,24605,25574,26440,16.7
51800,"Suffolk City",90426,99126,114615,132187,11.9
51810,"Virginia Beach City",453500,438114,430495,419103,9.1
51820,"Waynesboro City",21795,22375,23575,24613,15.2
51830,"Williamsburg City",14860,15510,16729,17820,23
51840,"Winchester City",27515,27967,29449,30781,16.4
